"Census year","Suburb","Commercial","Community Use","Educational/Research","Entertainment","Equipment Installation","Hospital/Clinic","House/Townhouse"
2002,"Carlton",59,69,56,47,56,71,62
2003,"Carlton",59,66,54,46,57,71,63
2004,"Carlton",59,66,54,46,57,71,63
2005,"Carlton",59,64,52,46,60,70,63
2006,"Carlton",59,64,52,46,60,70,63
2007,"Carlton",59,65,52,50,59,70,59
2008,"Carlton",59,65,52,50,59,70,59
2009,"Carlton",59,62,51,51,59,70,62
2010,"Carlton",59,62,51,51,59,70,62
2011,"Carlton",59,62,51,51,59,70,62
2012,"Carlton",61,61,51,52,59,71,65
2013,"Carlton",61,61,51,52,59,71,65
2014,"Carlton",58,61,50,48,57,71,62
2015,"Carlton",58,61,50,48,57,71,62
2016,"Carlton",56,61,52,46,57,71,66
2017,"Carlton",56,61,52,46,57,71,66
2018,"Carlton",55,63,55,48,57,71,66
2019,"Carlton",55,63,55,48,57,71,66
2020,"Carlton",60,66,55,49,57,71,66
2021,"Carlton",60,66,55,49,57,71,66
2022,"Carlton",59,66,57,52,56,71,70
2002,"Docklands",15,17,16,15,15,17,11
2003,"Docklands",14,17,15,17,14,16,9
2004,"Docklands",14,17,15,17,14,16,9
2005,"Docklands",13,16,16,14,14,15,13
2006,"Docklands",13,16,16,14,14,15,13
2007,"Docklands",12,15,16,16,15,17,13
2008,"Docklands",12,15,16,16,15,17,13
2009,"Docklands",10,13,15,16,16,17,15
2010,"Docklands",10,13,15,16,16,17,15
2011,"Docklands",10,13,15,16,16,17,15
2012,"Docklands",10,12,15,17,14,17,14
2013,"Docklands",10,12,15,17,14,17,14
2014,"Docklands",11,12,15,15,14,17,12
2015,"Docklands",11,12,15,15,14,17,12
2016,"Docklands",11,12,13,16,11,17,14
2017,"Docklands",11,12,13,16,11,17,14
2018,"Docklands",12,13,14,16,10,16,13
2019,"Docklands",12,13,14,16,10,16,13
2020,"Docklands",12,12,14,16,11,14,12
2021,"Docklands",11,14,13,16,13,14,12
2022,"Docklands",11,14,13,16,13,14,12
2002,"East Melbourne",23,36,31,25,27,36,35
2003,"East Melbourne",24,36,31,25,28,37,35
2004,"East Melbourne",24,36,31,25,28,37,35
2005,"East Melbourne",22,35,31,26,29,37,35
2006,"East Melbourne",22,35,31,26,29,37,35
2007,"East Melbourne",22,35,28,25,30,37,33
2008,"East Melbourne",22,35,28,25,30,37,33
2009,"East Melbourne",24,33,30,25,29,37,34
2010,"East Melbourne",24,33,30,25,29,37,34
2011,"East Melbourne",24,33,30,25,29,37,34
2012,"East Melbourne",23,33,31,26,29,37,35
2013,"East Melbourne",23,33,31,26,29,37,35
2014,"East Melbourne",23,32,31,27,29,37,37
2015,"East Melbourne",23,32,31,27,29,37,37
2016,"East Melbourne",23,33,31,28,29,37,36
2017,"East Melbourne",23,33,31,28,29,37,36
2018,"East Melbourne",23,33,31,27,31,37,33
2019,"East Melbourne",23,33,31,27,31,37,33
2020,"East Melbourne",22,35,30,27,31,37,37
2021,"East Melbourne",22,35,30,27,31,37,37
2022,"East Melbourne",24,36,31,27,30,37,36
2002,"Kensington",68,69,66,65,66,69,64
2003,"Kensington",68,69,66,65,66,69,64
2004,"Kensington",68,68,66,65,67,69,62
2005,"Kensington",68,68,66,65,67,69,62
2006,"Kensington",68,67,66,64,67,69,67
2007,"Kensington",68,67,66,64,67,69,67
2008,"Kensington",116,111,109,109,112,117,108
2009,"Kensington",116,111,109,109,112,117,108
2010,"Kensington",116,111,109,109,112,117,108
2011,"Kensington",116,113,109,105,112,117,111
2012,"Kensington",116,113,109,105,112,117,111
2013,"Kensington",116,112,112,103,112,117,111
2014,"Kensington",116,112,112,103,112,117,111
2015,"Kensington",116,112,111,101,110,117,111
2016,"Kensington",116,112,111,101,110,117,111
2017,"Kensington",116,111,109,100,110,117,112
2018,"Kensington",116,111,109,100,110,117,112
2019,"Kensington",115,110,111,103,111,116,115
2020,"Kensington",115,110,111,104,110,117,115
2021,"Kensington",116,110,110,100,111,117,114
2022,"Kensington",116,110,110,100,111,117,114
2002,"Melbourne (CBD)",56,80,51,73,63,66,66
2003,"Melbourne (CBD)",56,80,51,73,63,66,66
2004,"Melbourne (CBD)",55,78,50,74,62,66,66
2005,"Melbourne (CBD)",56,77,49,73,61,66,66
2006,"Melbourne (CBD)",54,71,51,75,60,67,68
2007,"Melbourne (CBD)",51,68,55,75,66,69,71
2008,"Melbourne (CBD)",49,73,53,74,67,67,71
2009,"Melbourne (CBD)",49,74,55,75,66,65,72
2010,"Melbourne (CBD)",48,74,54,75,64,64,73
2011,"Melbourne (CBD)",48,74,53,75,64,64,73
2012,"Melbourne (CBD)",49,75,50,75,67,67,71
2013,"Melbourne (CBD)",45,70,54,75,63,64,69
2014,"Melbourne (CBD)",46,71,55,75,61,60,72
2015,"Melbourne (CBD)",46,71,59,75,61,63,76
2016,"Melbourne (CBD)",44,71,59,75,59,64,74
2017,"Melbourne (CBD)",46,70,61,74,59,63,71
2018,"Melbourne (CBD)",46,70,60,75,59,62,70
2019,"Melbourne (CBD)",45,71,61,75,60,57,63
2020,"Melbourne (CBD)",42,72,61,77,59,57,60
2021,"Melbourne (CBD)",42,71,60,79,58,56,58
2022,"Melbourne (CBD)",44,71,62,78,61,64,62
2002,"Melbourne (Remainder)",14,13,10,11,11,15,14
2003,"Melbourne (Remainder)",14,13,10,11,11,15,14
2004,"Melbourne (Remainder)",14,12,11,11,12,15,15
2005,"Melbourne (Remainder)",14,12,11,11,12,15,15
